Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Azerbaijan,AZE,82.5,68.3,62.1,58.6,63.6,57.8,63.6,70.1,76.01,83.39,88.28,92.54,89.74,103.41,106.85,106.48,113.76,126.37,123.05,,,,,,,,,,,,79.33,65.65,59.62,58.01,61.32,59.35,63.6,70.09,75.65,82.88,88.19,92.04,91.5,102.89,105.61,105.74,112.57,122.63,120.91,128.49,134.98,139.8,,
Burundi,BDI,63.74,64.57,69.74,70.12,70.39,73.1,75.3,75.06,75.82,77.76,71.07,80.11,74.3,81.56,83.25,85.39,79.1,79.65,78.43,83.22,81.95,80.56,80.25,90.97,95.87,98.41,101.47,95.69,102.38,105.22,107.39,105.48,90.46,94.96,96.74,97.59,91.38,94.58,90.83,98.09,100.36,104.26,98.37,100.45,101.18,104.45,105.68,112.46,113.75,111.84,98.16,144.81,,
Belgium,BEL,,,,,,,,,106.8,99.23,103.47,101.1,103.58,99.17,97.25,98.49,94.59,97.99,86.7,,,,,,,,,,,,,,,,,,,,107.36,100.64,102.67,102.1,104.23,98.91,96.86,97.56,92.13,95.41,101.08,103.75,97.95,101.79,,
Benin,BEN,20.97,21.24,22.24,23.21,22.33,24.64,26.6,25.73,26.91,26.99,27.18,28.1,26.42,26.07,30.53,29.52,32.57,34.24,32.3,31.58,31.77,32.17,40.7,40.94,43.03,37.74,45.11,46.82,48.2,51.95,52.44,55.1,57.91,61.36,67.31,73,74.91,80.69,84.54,85.72,92.46,98.34,103.35,101.28,95.37,99.38,117.6,118.78,123.51,130.9,138.44,151.6,,
Burkina Faso,BFA,23.21,23.36,25.66,26.32,26.38,27.18,28.52,28.09,28.66,27.32,25.95,23.27,26.43,29.89,26.93,27.75,30.14,31.83,29.77,33.16,33.25,34.04,34.25,42.55,47.87,44.18,51.05,49.37,50.86,61.29,63.63,65.62,64.86,65.18,71.04,65.61,77.16,78.84,69.15,89.82,89.08,102.02,93.52,102.98,103.5,89.84,114.48,105.71,122.77,112.28,128.64,123.92,,
Bangladesh,BGD,34.91,39.72,40,40.27,38.55,43.68,44.7,46.55,44.31,41.12,40.34,44.68,43.22,47.8,45.65,48.75,50.52,50.12,51.04,50.74,52.76,53.98,54.29,56.17,56.84,56.95,57.85,63.55,64.28,65.69,66.59,66.52,63.98,66.84,70.55,71.49,74.1,84.27,89.49,87.55,90.16,92.78,91,102.85,106.16,112.06,120.37,121.62,129.69,132.08,132.84,135.36,,
Bulgaria,BGR,125.63,128.08,130.77,144.64,162.71,159.79,162.7,165.21,158.57,160.92,167.05,167.26,157.98,161.12,175.83,162.98,173.66,180.13,174.78,188.76,198.52,180.91,196.49,171.33,187.8,178.63,178.59,186.8,175.76,148.52,147.62,117.7,120.38,134,110.82,116.51,117.38,121.55,114.83,112.86,103.91,94.13,110.21,89.26,100.53,76.98,109.37,101.05,110.47,113.76,107.98,120.44,,
Bahrain,BHR,54.38,55.03,54.89,56.83,55.71,56.68,55.55,57.58,59.01,57.99,60.63,62.69,67.25,96.44,122.01,149.04,154.34,161.46,173.44,89.5,95.42,89.81,101.32,115.33,103.55,134.41,109.27,115.14,90.7,95.83,107.91,105.74,112.34,119.33,117.73,114.22,127.58,118.76,121.86,104.07,105.72,102.39,89.68,91.83,118.48,114.18,111.39,126.36,115.43,165.53,169.41,206.83,,
"Bahamas, The",BHS,36.4,38.5,40.25,42.59,46.19,48.48,48.99,46.32,48.27,47.09,51.76,67.28,70.95,70.69,79.4,67.97,63.52,60.38,59.79,69.98,66.45,63.92,67.26,66.85,64.65,68.14,69.27,73.55,73.12,65.48,65.28,65.05,63.02,79.94,91.21,85.65,106.76,110.76,85.09,88.81,87.02,95.22,99.72,98.51,101.76,107.23,107.96,104.24,126.09,129,132.05,133.85,,
Bosnia and Herzegovina,BIH,87.7,80.6,68.4,66.4,60.3,76.7,83,78.3,61.78,66.99,70.99,73.26,99.58,95.5,104.92,99.48,105.11,108.98,103.79,,,,,,,,,,,,93.24,84.29,71.4,69.45,63.17,78.94,85.76,81.9,64.22,69.55,73.74,75.83,99.69,97.05,103.26,104.57,111.59,117.01,112.26,112.73,102.1,116.98,,
